snid,galaxy_id
17905,5261490
19747,4686768
18075,10157463
19184,4701185
17936,20212096
17978,10141143
19725,20092722
17993,20073456
19822,4701667
19272,9884800
18734,4670840
18786,3403795
19997,12948086
17939,4704656
19611,2823057
19111,20226402
18956,2093754
19436,4686848
18579,5236608
18402,20108547
18891,365824
18725,9882508
18081,20075074
19835,5246621
18483,5231532
18942,3404470
18950,20230805
17836,10141134
19533,9901898
18377,353385
19561,20075293
18908,9872462
18732,3386264
17971,11204701
18443,353491
18621,5088456
17898,9879746
18934,3535964
19119,3533387
19593,11198876
18764,4680273
18154,5261587
20081,2096403
19497,4686845
18334,4600294
18201,18064761
19920,3540594
17886,18063474
18089,9841063
17959,4680272
19692,4720423
19627,10718019
19116,10727091
18094,9872504
19100,9895090
19752,20075322
19187,20212775
19695,4809055
18665,4667981
18232,10738939
18119,4667627
18332,2092089
18999,4720515
17887,3400764
19607,20096859
19728,12948335
19170,365600
17912,21647736
18947,9877272
19351,4625555
18528,18050121
19943,346028
19541,4697694
18162,20075359
19996,4624531
17878,2111210
18103,3416230
18569,3409077
20061,10727916
20089,10134165
19415,15635448
19763,359237
17996,5097444
19714,5256678
18221,5237472
19902,20095875
18380,4692778
18151,4618752
19746,15649041
18801,10143441
18213,2822572
19558,15644074
18586,20093982
19788,346049
19591,3387653
18205,3387121
18508,4606053
18704,9902610
17901,20226392
18876,20077796
19218,4627600
18135,15596263
19178,4683516
19871,9157068
19630,3387213
19413,360565
19637,4682975
19043,5247786
19981,18048797
19054,4627691
19165,360314
18412,9882796
18482,9879794
18390,21645035
17909,20224616
18653,3541137
18604,4716947
19865,4622021
18082,9904613
18025,4608961
19431,4701756
19446,4704152
19660,15597746
18344,9865577
19186,15590890
20019,5228729
17980,10733312
19526,5230355
19508,10161213
19333,4690922
18989,18060924
19786,10140967
18229,3400686
18984,20075436
19652,2818050
20016,10147899
17866,3392449
18022,4813704
19575,20069329
19971,9892565
19256,4711967
19334,9882556
18265,5094807
17861,10164011
18032,5231244
18438,9157018
18875,10747199
17995,15636028
18575,2098411
19366,9151860
19075,11995967
18369,15590035
18953,11209049
18091,20069130
19945,4667346
17994,11188579
20000,11202177
18940,3404483
18690,10141118
19892,4704463
19284,4667441
17900,4704661
20014,4681927
19771,4609316
18274,4608578
18985,17709914
19007,9817248
19363,9888080
18376,3389260
18970,10735813
18915,2821569
19861,10141054
18374,5095190
19189,4686863
18554,18049957
18655,5261435
17972,15597404
18602,20073552
18045,4627541
19621,4720662
19804,18052594
19604,9833198
19049,10738912
19880,18061866
19759,15644486
17844,15643726
19549,21642856
19783,4823975
19562,15635137
18287,8752426
17961,10150579
18723,20069112
18562,11200167
18251,10727076
20009,17883851
19673,9149680
18735,10140668
18046,11194205
18995,3400551
19240,10713142
18917,4723523
17973,9817734
19567,10140732
18982,9831143
19576,20075102
18053,10720393
18987,15636000
18652,9895814
19041,20211833
18553,365330
18857,3538673
19055,15594587
19005,9893029
19106,10166889
20106,4701179
19433,4817767
19399,4711560
19538,20095735
19662,4600464
19387,4673644
19709,4625427
17958,2814958
18305,12944403
18949,11197844
18636,18063468
18821,4712017
19409,7145535
18840,20077882
18257,3411823
18235,15646510
18797,3409972
18890,9821047
18120,15597736
18153,3387265
19670,9871443
19940,4667424
18708,367385
19754,15646507
19136,3408347
17991,4698904
18885,10726873
18948,4682980
18549,4622798
18440,9902810
18765,4704562
19555,18048704
18260,15597439
17998,4720686
18200,9833134
19557,3404425
19469,11191181
18233,15647798
18399,2821976
18826,10746396
20073,20224594
18297,15597703
18337,4809062
19928,4700996
17824,3535105
18988,9882994
18422,10730165
17889,11995658
18445,9889108
18064,20084290
19965,9893242
19311,9894467
20011,3540626
19663,9869519
19504,9893033
18255,4818877
19416,20212426
19031,20101195
18320,10735855
19183,11996842
18087,5237059
18504,364070
19061,20102368
19840,9872509
18928,15635982
18432,15633858
18628,4707817
18058,17710874
18559,353888
18365,10731438
18585,3404368
19048,367345
17835,5259510
19792,9822697
19486,20077319
19906,17884880
18217,4689320
19352,20093891
19461,5239231
19372,10141148
18338,9156049
19114,11197230
18650,10715437
20054,9822498
19560,9819255
19495,18064794
19735,10736644
19882,10727138
19222,10750074
18383,4705227
18123,9872500
19208,5237253
19700,4633130
19028,18074206
18925,4606920
19362,11192872
19825,5261544
17863,4665916
20018,9833645
18781,3540987
18673,9820452
19386,346378
18728,9902172
20099,4705339
19532,4701536
18737,15637370
19736,4716920
18595,4691648
18841,3543131
20040,4611570
18939,4686693
20039,4699547
17877,4677254
17938,17710751
18173,3533383
18757,10139749
19957,21640321
17953,4625676
18784,20108597
18230,3397335
18769,4717267
18686,15594080
19894,20090982
17963,4658118
18901,10141165
18461,9145021
19016,2822085
19163,5261429
17847,9901995
18599,4625662
19019,9882368
17894,4716138
19460,9879995
18914,11209766
18001,4716978
18271,5227741
18421,365359
19772,11208971
18479,4623349
17985,10718607
19345,4823127
18899,20075290
17975,3416206
19960,15636108
18849,20105510
19598,4669401
17891,2111234
19224,21648221
19889,4720323
19080,20096514
19655,4714384
19213,4600045
18680,10150416
19349,5263214
19739,9872560
18548,18076151
19588,4667427
19862,9870036
17965,5234294
19605,10730402
18761,10737048
18266,9812504
18002,4813901
18598,18058867
17941,20075761
18530,4720431
19368,18056656
19679,5239709
18587,4610227
19414,2821189
19696,365599
19454,9900980
18878,346076
19303,9902128
19767,351400
19026,18068380
18426,4677668
19033,9882770
19125,5247988
19545,2098370
18859,5232557
18803,11206939
18208,5096830
18745,10727390
18510,10719080
19185,10713575
18894,15595140
19145,357569
19520,20227468
19967,15635991
18410,5087211
19806,20084513
19827,3541865
17977,3416690
19233,11200456
19710,11191771
17871,354451
19864,20089990
18994,11197972
18531,5250715
19933,11200217
19078,4711588
19093,4625562
18446,9904501
19191,11187916
18166,2098434
18921,15636204
18561,10141018
17921,4686662
20007,9143602
17999,3408662
18944,20072821
18043,4718164
17885,4667348
18692,11208360
18698,10727077
19974,7146410
18264,15644224
18202,9872485
19468,10729567
19949,9843155
17954,2092110
18605,4820443
19124,5241982
19463,9882473
17990,20208505
18918,20093682
19500,2818083
18035,3551464
19858,5261489
19108,4701243
19344,9148016
19147,9882516
19358,3418757
19235,4655575
19020,18062567
19426,5231435
19396,9895800
18792,9835739
18922,9828435
18751,4671100
19999,9824842
18979,15644006
19668,18048442
19120,4824049
19248,9902210
19543,18058920
19474,4620599
19286,20213048
18090,3407200
19837,15646561
19740,4677059
18108,9833277
18778,4716135
19380,18050080
19336,3388866
18685,4701132
